;mean_fit_time;std_fit_time;mean_score_time;std_score_time;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
lasso;58.66091401576996;0.9551748054167007;6.437253665924072;0.48590688983197067;0.9298245614035088;0.9285714285714286;0.9464285714285714;0.9464285714285714;0.9464285714285714;0.9821428571428571;0.8909090909090909;0.9629629629629629;0.9811320754716981;0.9811320754716981;0.9492753623188406;0.027335859375497144;1
svm;58.11611731052399;0.8508711169600931;6.25274555683136;0.43776797969292575;0.9298245614035088;0.9464285714285714;0.9464285714285714;0.9464285714285714;0.9285714285714286;1.0;0.9272727272727272;0.9814814814814815;1.0;0.9811320754716981;0.9583333333333334;0.02753525730194315;1
rf;58.94282853603363;0.4462064503196998;6.398134660720825;0.4786937364561498;1.0;0.9285714285714286;0.9107142857142857;0.9642857142857143;0.9464285714285714;1.0;0.9636363636363636;0.9629629629629629;0.9811320754716981;0.9622641509433962;0.9619565217391305;0.027137386647882074;1
xgb;72.25383272171021;5.697625446043234;6.825458192825318;0.5598328234338067;1.0;0.9285714285714286;0.9107142857142857;0.9642857142857143;0.9107142857142857;1.0;0.9636363636363636;0.9444444444444444;0.9811320754716981;1.0;0.9601449275362319;0.03382205860148504;1
